DayAheadForecast,WeekAheadForecast,MonitoredCapacity,LoadFactor,MostRecentForecast
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
1.91,1.09,3369.05,0.0,1.95
16.47,9.44,3369.05,0.12,16.69
43.46,25.99,3369.05,0.71,43.96
75.48,48.05,3369.05,1.8,76.85
116.08,77.95,3369.05,3.16,118.63
162.58,112.96,3369.05,4.56,165.92
211.44,147.23,3369.05,6.42,215.35
273.05,185.72,3369.05,8.46,275.92
347.2,231.79,3369.05,10.13,347.82
430.52,281.28,3369.05,12.11,422.6
516.43,330.25,3369.05,16.73,505.24
605.08,381.04,3369.05,21.68,598.73
696.98,437.25,3369.05,24.63,696.28
790.18,491.3,3369.05,26.39,790.59
888.16,544.08,3369.05,29.82,884.96
985.32,598.55,3369.05,33.65,983.91
1074.68,654.48,3369.05,39.33,1087.26
1161.9,708.2,3369.05,40.72,1185.49
1240.36,758.63,3369.05,41.13,1271.18
1312.86,801.49,3369.05,43.53,1342.52
1381.69,840.19,3369.05,40.94,1406.17
1445.71,874.45,3369.05,38.35,1596.35
1504.59,906.47,3369.05,39.5,1662.22
1557.16,936.84,3369.05,39.55,1721.56
1603.19,966.24,3369.05,38.13,1772.33
1642.94,993.59,3369.05,36.76,1814.94
1672.79,1018.1,3369.05,33.26,1836.43
1694.15,1039.43,3369.05,33.69,1825.14
1714.22,1057.68,3369.05,33.79,1789.45
1731.68,1072.69,3369.05,33.92,1745.81
1740.01,1084.03,3369.05,32.97,1701.26
1737.45,1092.28,3369.05,33.53,1658.99
1727.14,1097.51,3369.05,32.15,1615.91
1712.5,1099.41,3369.05,31.17,1073.51
1694.1,1097.72,3369.05,30.04,1063.97
1673.91,1092.52,3369.05,31.15,1050.64
1650.65,1086.05,3369.05,33.66,1036.15
1622.32,1076.15,3369.05,34.94,1019.27
1591.35,1062.83,3369.05,32.78,1002.9
1559.52,1041.6,3369.05,31.01,988.67
1522.69,1012.72,3369.05,30.73,973.9
1474.89,980.51,3369.05,28.89,1017.09
1413.83,940.57,3369.05,29.81,990.14
1344.34,895.4,3369.05,29.46,956.72
1271.25,848.11,3369.05,27.55,917.73
1192.12,797.81,3369.05,26.08,875.2
1106.5,746.24,3369.05,25.57,830.25
1017.14,693.9,3369.05,24.67,780.84
923.68,641.01,3369.05,23.84,726.7
825.04,586.15,3369.05,23.29,666.41
729.96,528.17,3369.05,22.86,599.95
636.68,470.8,3369.05,21.33,530.48
543.85,416.17,3369.05,17.8,463.64
452.5,361.87,3369.05,14.91,393.33
364.52,307.31,3369.05,11.83,324.83
284.51,253.2,3369.05,9.32,262.29
218.55,207.87,3369.05,7.06,208.16
167.96,164.51,3369.05,5.27,160.15
122.19,117.43,3369.05,3.46,116.4
81.82,72.7,3369.05,1.93,77.69
48.81,39.72,3369.05,0.84,46.37
21.26,16.47,3369.05,0.18,20.26
4.14,3.12,3369.05,0.01,3.96
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
3.69,2.23,3369.05,0.0,3.44
22.94,14.16,3369.05,0.31,21.3
53.75,34.65,3369.05,1.07,50.09
86.68,57.68,3369.05,2.04,81.7
126.04,86.64,3369.05,3.43,120.52
169.88,123.03,3369.05,5.07,163.49
221.34,167.03,3369.05,6.83,215.24
294.91,218.01,3369.05,8.6,286.78
389.58,273.59,3369.05,11.31,376.85
501.23,335.58,3369.05,14.37,494.34
622.57,400.78,3369.05,18.02,610.24
744.71,468.51,3369.05,21.57,728.46
877.45,537.98,3369.05,24.41,856.08
1014.82,607.74,3369.05,27.23,986.18
1147.59,676.07,3369.05,32.18,1114.27
1270.37,739.03,3369.05,36.68,1233.57
1396.12,796.92,3369.05,42.19,1356.37
1521.88,850.93,3369.05,47.37,1475.42
1639.5,898.02,3369.05,50.61,1587.57
1752.62,941.67,3369.05,54.43,1701.14
1870.45,982.96,3369.05,58.27,1815.91
1982.31,1022.97,3369.05,61.24,1994.17
2072.58,1063.23,3369.05,65.16,2088.57
2155.27,1101.71,3369.05,67.62,2183.31
2228.57,1136.49,3369.05,69.9,2270.38
2296.68,1167.51,3369.05,71.84,2346.49
2355.65,1194.87,3369.05,73.56,2412.34
2403.13,1217.7,3369.05,74.37,2466.16
2439.23,1235.51,3369.05,76.26,2507.64
2466.71,1248.14,3369.05,77.29,2538.04
2485.58,1255.66,3369.05,77.98,2556.32
2495.08,1260.11,3369.05,77.83,2562.83
2495.51,1260.26,3369.05,77.97,2559.43
2487.5,1256.12,3369.05,76.96,2578.94
2470.91,1248.15,3369.05,76.12,2554.99
2444.92,1236.14,3369.05,75.02,2521.01
2408.36,1220.21,3369.05,73.83,2475.66
