DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
1959.09,1314.68,2549.85,1141.09,2513.26,3157.18,0.65,2034.62,2052.86
1969.9,1330.17,2558.46,1134.23,2512.97,3157.18,0.66,2040.38,2088.05
1980.72,1345.67,2567.06,1127.37,2512.66,3157.18,0.66,2046.16,2098.03
1991.53,1361.16,2575.67,1120.51,2512.36,3157.18,0.68,2051.92,2157.82
2000.59,1377.03,2581.51,1112.78,2511.35,3157.18,0.67,2052.98,2117.66
2007.91,1393.24,2584.61,1104.14,2509.64,3157.18,0.66,2049.32,2090.91
2015.23,1409.47,2587.69,1095.51,2507.94,3157.18,0.68,2045.66,2143.29
2022.55,1425.68,2590.79,1086.87,2506.23,3157.18,0.68,2041.99,2143.78
2029.66,1441.86,2593.21,1077.54,2503.32,3157.18,0.67,2045.22,2101.33
2036.57,1457.98,2594.97,1067.49,2499.21,3157.18,0.65,2055.33,2060.27
2043.48,1474.11,2596.72,1057.44,2495.09,3157.18,0.65,2065.42,2042.98
2050.39,1490.24,2598.48,1047.39,2490.99,3157.18,0.67,2075.52,2101.12
2055.16,1501.76,2599.51,1036.58,2486.39,3157.18,0.67,2100.74,2118.63
2057.78,1508.64,2599.79,1025.0,2481.28,3157.18,0.68,2108.43,2152.34
2060.4,1515.52,2600.09,1013.41,2476.19,3157.18,0.68,2116.12,2142.21
2063.03,1522.41,2600.38,1001.82,2471.08,3157.18,0.68,2123.81,2134.23
2070.01,1533.82,2603.79,989.7,2465.88,3157.18,0.68,2133.21,2139.08
2081.32,1549.77,2610.31,977.0,2460.52,3157.18,0.67,2144.31,2125.99
2092.64,1565.72,2616.83,964.32,2455.17,3157.18,0.66,2155.41,2093.85
2103.95,1581.68,2623.35,951.62,2449.81,3157.18,0.65,2166.52,2051.94
2114.14,1596.76,2628.15,938.28,2444.54,3157.18,0.65,2173.7,2064.95
2123.18,1610.97,2631.21,924.26,2439.35,3157.18,0.65,2174.16,2059.21
2132.23,1625.18,2634.28,910.26,2434.15,3157.18,0.66,2174.62,2077.05
2141.27,1639.39,2637.34,896.24,2428.97,3157.18,0.67,2175.08,2101.74
2152.4,1655.86,2642.11,882.05,2424.87,3157.18,0.68,2181.55,2153.53
2165.57,1674.58,2648.58,867.67,2421.84,3157.18,0.7,2194.05,2196.05
2178.74,1693.3,2655.07,853.28,2418.81,3157.18,0.69,2206.54,2182.9
2191.92,1712.01,2661.55,838.9,2415.79,3157.18,0.71,2219.04,2233.67
2208.56,1734.8,2671.07,824.72,2413.42,3157.18,0.71,2229.91,2252.98
2228.71,1761.64,2683.67,810.76,2411.7,3157.18,0.72,2239.18,2274.16
2248.82,1788.49,2696.26,796.79,2409.98,3157.18,0.73,2248.44,2294.76
2268.97,1815.33,2708.86,782.83,2408.26,3157.18,0.71,2257.71,2254.59
2279.87,1828.67,2716.62,769.42,2407.03,3157.18,0.73,2271.66,2293.54
2281.57,1828.51,2719.52,756.56,2406.29,3157.18,0.74,2290.28,2347.47
2283.29,1828.37,2722.44,743.71,2405.53,3157.18,0.72,2308.91,2282.15
2284.99,1828.21,2725.34,730.85,2404.8,3157.18,0.71,2327.53,2254.47
2285.82,1826.46,2727.39,718.86,2403.97,3157.18,0.71,2337.85,2250.67
2285.79,1823.12,2728.57,707.73,2403.04,3157.18,0.7,2339.85,2204.13
2285.76,1819.78,2729.74,696.62,2402.13,3157.18,0.71,2341.85,2228.94
2285.73,1816.43,2730.92,685.5,2401.21,3157.18,0.71,2343.85,2233.22
2277.79,1802.79,2727.45,675.5,2400.11,3157.18,0.72,2266.62,2259.03
2261.98,1778.84,2719.36,666.62,2398.84,3157.18,0.73,2256.6,2297.15
2246.18,1754.89,2711.26,657.75,2397.59,3157.18,0.73,2246.58,2305.9
2230.37,1730.95,2703.16,648.86,2396.32,3157.18,0.72,2236.56,2261.47
2212.07,1704.26,2693.79,641.4,2394.85,3157.18,0.69,2227.03,2179.48
2191.3,1674.85,2683.16,635.33,2393.19,3157.18,0.69,2217.98,2165.62
2170.54,1645.43,2672.53,629.28,2391.52,3157.18,0.67,2208.92,2118.54
2149.76,1616.02,2661.9,623.22,2389.86,3157.18,0.66,2199.88,2079.86
2126.07,1586.36,2645.94,618.48,2387.99,3157.18,0.66,2180.64,2095.89
2099.44,1556.45,2624.66,615.08,2385.91,3157.18,0.66,2151.23,2083.31
2072.8,1526.54,2603.37,611.68,2383.84,3157.18,0.64,2121.81,2031.32
2046.17,1496.63,2582.09,608.27,2381.77,3157.18,0.64,2092.39,2009.68
2019.24,1466.17,2560.22,605.88,2378.64,3157.18,0.65,2060.51,2047.93
1992.0,1435.16,2537.74,604.48,2374.46,3157.18,0.64,2026.16,2031.39
1964.76,1404.16,2515.26,603.08,2370.27,3157.18,0.63,1991.8,2001.0
1937.53,1373.15,2492.78,601.68,2366.09,3157.18,0.59,1957.45,1861.21
1905.59,1336.36,2466.51,600.71,2360.66,3157.18,0.47,1918.09,1494.56
1868.95,1293.8,2436.45,600.19,2353.95,3157.18,0.4,1873.71,1256.19
1832.3,1251.23,2406.4,599.67,2347.22,3157.18,0.37,1829.32,1153.38
1795.66,1208.67,2376.35,599.14,2340.51,3157.18,0.43,1784.94,1359.68
1768.38,1179.2,2351.87,598.58,2333.29,3157.18,0.4,1492.7,1276.78
1750.45,1162.83,2332.96,597.94,2325.58,3157.18,0.44,1451.61,1388.22
1732.52,1146.46,2314.05,597.29,2317.86,3157.18,0.46,1410.52,1446.13
1714.59,1130.09,2295.14,596.66,2310.14,3157.18,0.48,1369.43,1516.58
1694.5,1108.87,2276.79,595.54,2302.62,3157.18,0.51,1342.11,1598.76
1672.24,1082.77,2259.0,593.91,2295.3,3157.18,0.49,1328.57,1537.26
1649.97,1056.69,2241.22,592.28,2287.99,3157.18,0.5,1315.03,1571.05
1627.72,1030.59,2223.44,590.66,2280.67,3157.18,0.5,1301.49,1570.53
1607.76,1006.36,2207.82,587.96,2274.61,3157.18,0.48,1271.9,1515.07
1590.11,984.01,2194.38,584.22,2269.8,3157.18,0.47,1226.27,1485.02
1572.46,961.66,2180.95,580.47,2264.98,3157.18,0.39,1180.65,1216.98
1554.81,939.32,2167.51,576.74,2260.17,3157.18,0.37,1135.02,1179.55
1535.5,917.45,2149.62,571.63,2256.3,3157.18,0.35,1100.72,1093.1
1514.54,896.09,2127.29,565.19,2253.34,3157.18,0.31,1077.8,994.27
1493.56,874.73,2104.94,558.76,2250.37,3157.18,0.32,1054.89,1003.97
1472.59,853.37,2082.6,552.32,2247.41,3157.18,0.32,1031.96,995.88
1443.6,824.03,2053.64,544.98,2244.7,3157.18,0.35,1016.88,1105.96
1406.56,786.74,2018.04,536.77,2242.23,3157.18,0.32,1009.67,1025.91
1369.53,749.44,1982.45,528.54,2239.74,3157.18,0.28,1002.46,880.37
1332.49,712.16,1946.85,520.32,2237.27,3157.18,0.24,995.25,763.36
1298.64,679.55,1912.52,511.39,2235.34,3157.18,0.23,914.76,738.09
1267.96,651.65,1879.44,501.76,2233.96,3157.18,0.22,898.11,710.23
1237.29,623.76,1846.35,492.14,2232.58,3157.18,0.24,881.44,752.1
1206.61,595.86,1813.27,482.51,2231.2,3157.18,0.23,864.79,732.08
1177.38,573.09,1778.2,472.51,2230.0,3157.18,0.27,849.68,862.0
1149.63,555.45,1741.15,462.15,2229.0,3157.18,0.28,836.11,869.07
1121.86,537.82,1704.09,451.8,2228.0,3157.18,0.26,822.54,809.18
1094.1,520.18,1667.03,441.44,2226.99,3157.18,0.26,808.97,827.37
1066.63,501.34,1631.38,431.12,2225.74,3157.18,0.27,792.34,852.44
